site,start_date,end_date,name_dt,name_local,long_name_local,units_local,type,time_char_format,horizontal_id,vertical_id,replicate_id,sensor_make,sensor_model,range_min,range_max,diff_ref_max,imputation_method,name_era5,long_name_era5,units_era5,name_icos,long_name_icos,units_icos,statistic
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SW_IN_5_1_1,SW_IN_5_1_1,Shortwave incoming radiation,W/m^2,energy flux,,5,1,1,Campbell,CS-101,0,1200,100,era5,ssrd,ssrd,W/m^2,SW_IN,Shortwave incoming radiation,W/m^2,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SW_IN_7_1_1,SW_IN_7_1_1,Shortwave incoming radiation,W/m^2,energy flux,,7,1,1,Campbell,CS-101,0,1200,100,era5,ssrd,ssrd,W/m^2,SW_IN,Shortwave incoming radiation,W/m^2,mean
UK-EBU,01/08/2023 13:00,01/01/2024 00:00,SW_IN_EB_1_1_1,SW_IN_EB_1_1_1,Shortwave incoming radiation,W/m^2,energy flux,,1,1,1,Campbell,CS-101,0,1200,100,era5,ssrd,ssrd,W/m^2,SW_IN,Shortwave incoming radiation,W/m^2,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SW_OUT,SW_OUT,Shortwave outgoing radiation,W/m^2,energy flux,,,,,Campbell,CS-101,0,300,100,era5,ssru,ssru,W/m^2,SW_OUT,Shortwave outgoing radiation,W/m^2,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SW_OUT_5_1_1,SW_OUT_5_1_1,Shortwave outgoing radiation,W/m^2,energy flux,,5,1,1,Campbell,CS-101,0,300,100,era5,ssru,ssru,W/m^2,SW_OUT,Shortwave outgoing radiation,W/m^2,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC,SWC,Soil water content,%,soil moisture,,,,,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_10_1_1,SWC_10_1_1,Soil water content,%,soil moisture,,10,1,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_10_2_1,SWC_10_2_1,Soil water content,%,soil moisture,,10,2,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_10_3_1,SWC_10_3_1,Soil water content,%,soil moisture,,10,3,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_10_4_1,SWC_10_4_1,Soil water content,%,soil moisture,,10,4,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
UK-AMO,01/01/1995 00:00,01/01/2030 00:00,SWC_11_1_1,SWC_11_1_1,Soil water content,%,soil moisture,,11,1,1,Campbell,CS-101,0,100,100,era5,swvl1,swvl1,%,SWC,Soil water content,%,mean
